Data Item,Description,Type,Unit,Function
Vehicle.Acceleration.Lateral,Vehicle acceleration along Y axis.,number,m/s^2,r
Vehicle.Acceleration.Longitudinal,Vehicle acceleration along X axis.,number,m/s^2,r
Vehicle.Acceleration.Vertical,Vehicle acceleration along Z axis.,number,m/s^2,r
Vehicle.ADAS.ABS.Error,An indication of whether a fault signal for the ABS system is issued. True = fault. False = No fault.,boolean,-,r
Vehicle.ADAS.ABS.IsActive,An indication of the current activation status of the ABS system. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.ADAS.ABS.IsEngaged,An indication if ABS is currently engaged in regulating vehicle behavior. True = Engaged. False = Not Engaged.,boolean,-,r
Vehicle.ADAS.AEBS.Error,An indication of whether a fault signal for the AEBS system is issued. True = fault. False = No fault.,boolean,-,r
Vehicle.ADAS.AEBS.IsActive,An indication of the current activation status of the AEBS system. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.ADAS.AEBS.IsEngaged,An indication if AEBS is currently engaged in regulating vehicle behavior. True = Engaged. False = Not Engaged.,boolean,-,r
Vehicle.ADAS.ACSF.Error,An indication of whether a fault signal for the ACSF system is issued. True = fault. False = No fault.,boolean,-,r
Vehicle.ADAS.ACSF.IsActive,An indication of the current activation status of the ACSF system. True = Activated. False = Disabled.,boolean,-,rw
Vehicle.ADAS.CruiseControl.Error,An indication of whether a fault signal for the CruiseControl system is issued. True = fault. False = No fault.,boolean,-,r
Vehicle.ADAS.CruiseControl.IsActive,An indication of the current activation status of the CruiseControl system. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.ADAS.CruiseControl.IsEngaged,An indication if CruiseControl is currently engaged in regulating vehicle behavior. True = Engaged. False = Not Engaged.,boolean,-,r
Vehicle.ADAS.CruiseControl.SpeedLimit,Selected speed limit by speed limiter.,number,km/h,rw
Vehicle.ADAS.CruiseControl.TargetSpeed,Selected cruise control speed.,number,km/h,rw
Vehicle.ADAS.CruiseControl.IsOverriden,An indication of whether CruiseControl system was overridden by driver intervention when the system was active.,boolean,-,r
Vehicle.ADAS.ESP.Error,An indication of whether a fault signal for the ESP/ESC system is issued. True = fault. False = No fault.,boolean,-,r
Vehicle.ADAS.ESP.IsActive,An indication of the current activation status of the ESP/ESC system. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.ADAS.ESP.IsEngaged,An indication if ESP/ESC is currently engaged in regulating vehicle behavior. True = Engaged. False = Not Engaged.,boolean,-,r
Vehicle.ADAS.ESP.Sensors,The current vehicle stability measurements as provided by the ESP system.,string,-,r
Vehicle.ADAS.Interventions,The current cumulative number of times a driver assistant system has intervened in the driving process.,number,-,r
Vehicle.ADAS.LaneDetection.CurrentLane,"The current driving lane the vehicle is in, relative to the detected surrounding lanes.",string,-,r
Vehicle.ADAS.LaneDetection.Error,An indication of whether a fault signal for the LaneDetection system is issued. True = fault. False = No fault.,boolean,-,r
Vehicle.ADAS.LaneDetection.IsActive,An indication of the current activation status of the LaneDetection system. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.ADAS.LaneDetection.IsEngaged,An indication if LaneDetection is currently engaged in regulating vehicle behavior. True = Engaged. False = Not Engaged.,boolean,-,r
Vehicle.ADAS.LaneDetection.Lanes,The current calculated number of driving lanes at the vehicle's disposal.,number,-,r
Vehicle.ADAS.ObstacleDetection.DistanceToObject,Value(s) of the current vehicle's distance to surrounding objects.,string,-,r
Vehicle.ADAS.ObstacleDetection.IsActive,An indication of the current activation status of the ObstacleDetection system. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.ADAS.ObstacleDetection.ObjectCloseAlarm,An indication of whether the distance of the vehicle to a surrounding object is below a set threshold for which an alarm is triggered.,boolean,-,r
Vehicle.ADAS.ObstacleDetection.Objects,"The kind, size and relative distance of objects surrounding the vehicle as detected by the vehicle's object detection sensors.",string,-,r
Vehicle.ADAS.TCS.Error,An indication of whether a fault signal for the traction control system is issued. True = fault. False = No fault.,boolean,-,r
Vehicle.ADAS.TCS.IsActive,An indication of the current activation status of the traction control system. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.ADAS.TCS.IsEngaged,An indication if traction control is currently engaged in regulating vehicle behavior. True = Engaged. False = Not Engaged.,boolean,-,r
Vehicle.ADAS.ParkAssist.Error,An indication of whether a fault signal for the park assist system is issued. True = fault. False = No fault.,boolean,-,r
Vehicle.ADAS.ParkAssist.IsActive,An indication of the current activation status of the park assist system. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.ADAS.ParkAssist.OperationType,An indication of performed maneuvre/operation.,string,-,r
Vehicle.ADAS.Tachograph.Status,The summary of tachograph status of the vehcile. To be expanded into multiple data items.,string,-,r
Vehicle.Alarm.IsActive,An indication of whether the theft alert is enabled.,boolean,-,rw
Vehicle.Alarm.IsEngaged,An indication of whether the theft alert triggers have triggered the alarm.  True = triggered. False = Not triggered.,boolean,-,rw
Vehicle.AngularVelocity.Pitch,Vehicle rotation rate along Y axis as measured by the on-board gyroscope.,number,rad/s,r
Vehicle.AngularVelocity.Roll,Vehicle rotation rate along X axis as measured by the on-board gyroscope.,number,rad/s,r
Vehicle.AngularVelocity.Yaw,Vehicle rotation rate along Z axis as measured by the on-board gyroscope.,number,rad/s,r
Vehicle.Battery.Capacity,Remaining battery capacity as a percentage. The value is between 0% and 100%.,number,%,r
Vehicle.Battery.Current,The battery output current.,number,A,r
Vehicle.Battery.LowVoltageWarning,An indication of whether the battery level is running low.,boolean,-,r
Vehicle.Battery.SOC,An indication of the battery's status in its current charging cycle.,number,%,r
Vehicle.Battery.Temperature,The battery temperature.,number,C,r
Vehicle.Battery.Voltage,The battery output voltage.,number,V,r
Vehicle.Body.GasFlap.IsLocked,An indication of the fuel door lock status.,boolean,-,rw
Vehicle.Body.Hood.IsLocked,An indication of whether the vehicle's hood is locked.,boolean,-,rw
Vehicle.Body.Hood.IsOpen,An indication of whether the vehicle's hood is open or closed.,boolean,-,rw
Vehicle.Body.Hood.IsSafeLocked,An indication of whether the vehicle's hood is safe locked.,boolean,-,rw
Vehicle.Body.Horn.IsActive,Horn On/Off status. True = Horn is on. False = Horn is off.,boolean,-,rw
Vehicle.Body.Lights.IsBackupOn,An indication of whether the backup light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsBrakeOn,An indication of whether the brake light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsFrontFogOn,An indication of whether the fron fog light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsHazardOn,An indication of whether the hazard/warning  light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsHighBeamOn,An indication of whether the high beam light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsLeftIndicatorOn,An indication of whether the turn left indicator  light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsLowBeamOn,An indication of whether the low beam light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsParkingOn,An indication of whether the parking light is currently activated.,boolean,-,rw
